City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,A,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
308,Hamilton,US,39.1834,-84.5333,86.63,51,94,3.0,overcast clouds
309,Carahue,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
310,West Bay,KY,19.3667,-81.4167,90.0,68,40,4.0,scattered clouds
311,Vila Velha,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
312,Kalya,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
313,Gerash,IR,36.6412,52.9124,80.02,54,43,2.28,scattered clouds
314,Tabas,IR,36.6412,52.9124,80.02,54,43,2.28,scattered clouds
315,Beringovskiy,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
316,Marsh Harbour,BS,26.5412,-77.0636,84.45,73,69,14.0,broken clouds
317,Khani,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
318,Turmero,VE,10.2239,-67.4729,80.83,69,65,4.27,broken clouds
319,Kaitangata,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
320,Deputatskiy,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
321,Springbok,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
322,Morehead,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
323,Soure,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
324,San Rafael,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
325,Sao Jose Da Coroa Grande,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
326,Vao,NC,-22.6667,167.4833,67.32,58,73,17.63,broken clouds
327,Nurota,UZ,40.5614,65.6886,77.09,21,0,8.39,clear sky
328,Shache,CN,40.2186,116.2197,71.96,85,6,5.99,clear sky
329,Severo-Kurilsk,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
330,Zabaykalsk,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
331,Kemijarvi,FI,66.7131,27.4306,52.27,77,85,4.94,overcast clouds
332,Taft,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
333,Saint George,US,39.1834,-84.5333,86.63,51,94,3.0,overcast clouds
334,Porto Velho,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
335,Pitiquito,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
336,Dunnville,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
337,Hunza,PK,30.9236,66.4512,80.82,13,0,5.64,clear sky
338,Jertih,MY,5.7336,102.4897,76.69,93,100,2.84,light rain
339,Muros,ES,28.6585,-17.9182,69.55,95,20,16.11,few clouds
340,Sawakin,SD,14.2,24.6667,80.42,48,49,17.25,scattered clouds
341,Raleigh,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
342,Belfast,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
343,Belmonte,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
344,Viligili,MV,-0.6,73.0833,80.71,77,99,7.52,moderate rain
345,North Bend,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
346,Merauke,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
